id,title,year,source_type,role,primary_url,credibility_1_to_5,recency_1_to_5,bias_risk_1_to_5,limits
S01,Long Document Summarization with Top-down and Bottom-up Inference,2023,academic_primary,supportive top-down ablation,https://aclanthology.org/2023.findings-eacl.94.pdf,5,3,3,different architecture and best-validation checkpoint
S02,Salience Allocation as Guidance for Abstractive Summarization,2022,academic_primary,supportive predicted salience keys,https://aclanthology.org/2022.emnlp-main.409.pdf,5,2,3,news data and gold salience used for generation during training
S03,Abstractive Summarization Guided by Latent Hierarchical Document Structure,2022,academic_primary,supportive decoder selection,https://aclanthology.org/2022.emnlp-main.355.pdf,5,2,3,sentence graph and different backbones
S04,Incorporating Question Answering-Based Signals into Abstractive Summarization via Salient Span Selection,2023,academic_primary,supportive silver spans,https://aclanthology.org/2023.eacl-main.42.pdf,5,3,3,requires QA span predictor and different data
S05,PROM: A Phrase-level Copying Mechanism with Pre-training for Abstractive Summarization,2024,academic_primary,counterexample flat copy on arXiv,https://aclanthology.org/2024.lrec-main.1148.pdf,5,4,3,different pretraining and backbone
S06,Entity-based SpanCopy for Abstractive Summarization to Improve the Factual Consistency,2023,academic_primary,counterexample relevance prior on original PubMed,https://aclanthology.org/2023.codi-1.9.pdf,5,3,3,entity-focused different model
S07,On Context Utilization in Summarization with Large Language Models,2024,academic_primary,counterexample domain sensitivity,https://aclanthology.org/2024.acl-long.153.pdf,5,4,3,hierarchical inference in decoder-only models
S08,AFMR local graph and gradient audit,2026,implementation_primary,mechanism and initialization evidence,,4,5,2,tiny CPU tests cannot predict full training
S09,User supplied PubMed ROUGE observations,2026,first_party_observation,problem statement,,3,5,3,aggregate scores lack paired outputs and reproducible run artifacts
S10,DYLE: Dynamic Latent Extraction for Abstractive Long-Input Summarization,2022,academic_primary,dynamic evidence and counterexample,https://aclanthology.org/2022.acl-long.118.pdf,5,2,3,extractor and generator are different from AFMR; arXiv baselines differ
S11,LONGEVAL: Guidelines for Human Evaluation of Faithfulness in Long-form Summarization,2023,academic_primary,limits of exact lexical evidence,https://aclanthology.org/2023.eacl-main.121.pdf,5,3,2,bigram statistic concerns human PubMed summaries not the AFMR visible 4096 tokens
S12,The Power of Summary-Source Alignments,2024,academic_primary,limits of lexical alignment,https://aclanthology.org/2024.findings-acl.389.pdf,5,4,2,Multi-News multi-document setting not PubMed single-document training
S13,Not Lost After All: How Cross-Encoder Attribution Challenges Position Bias Assumptions in LLM Summarization,2025,academic_primary,recent semantic attribution warning,https://aclanthology.org/2025.findings-emnlp.846.pdf,5,5,2,attribution analysis of LLM outputs not AFMR supervised evidence labels
S14,Fast Evidence Extraction for Grounded Language Model Outputs,2024,academic_primary,query-source fusion evidence,https://aclanthology.org/2024.fever-1.24.pdf,5,4,2,post-hoc evidence extraction not generation or PubMed ROUGE
S15,Document Summarization with Latent Queries,2022,academic_primary,query-focused and original source views,https://aclanthology.org/2022.tacl-1.36.pdf,5,2,3,latent query training and two-view BART model differ from AFMR
