id,source_file,title,year,venue,url,type,scope,credibility,recency,bias
composition,sources/s01_composition.md,Learning to Compose Representations of Different Encoder Layers towards Improving Compositional Generalization,2023,Findings of EMNLP,https://aclanthology.org/2023.findings-emnlp.108.pdf,primary experiment,layer-specific encoder K/V composition,5,4,3
layercoord,sources/s02_layerwise_coordination.md,Layer-Wise Coordination between Encoder and Decoder for Neural Machine Translation,2018,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2018/file/4fb8a7a22a82c80f2c26fe6c1e0dcbb3-Paper.pdf,primary experiment,decoder-layer to encoder-layer access,5,2,3
denseflow,sources/s03_dense_information_flow.md,Dense Information Flow for Neural Machine Translation,2018,NAACL-HLT,https://aclanthology.org/N18-1117.pdf,primary experiment,separate attention to multiple encoder layers,5,2,3
fid,sources/s04_fusion_in_decoder.md,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,2021,EACL,https://aclanthology.org/2021.eacl-main.74.pdf,primary experiment,decoder-only fusion of independent source memories,5,3,3
hyperformer,sources/s05_hyperformer.md,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,2021,ACL-IJCNLP,https://aclanthology.org/2021.acl-long.47.pdf,primary experiment,conditioned layer-specific adapters,5,3,3
doccontext,sources/s06_document_context_encoder.md,Improving the Transformer Translation Model with Document-Level Context,2018,EMNLP,https://aclanthology.org/D18-1049/,primary experiment,document conditioning of encoder and decoder,5,2,3
selective,sources/s06_selective_attention.md,Selective Attention for Context-aware Neural Machine Translation,2019,NAACL-HLT,https://aclanthology.org/N19-1313.pdf,primary experiment,dynamic block-then-token exact read,5,2,3
docflat,sources/s07_docflat_context_gate.md,Document Flattening: Beyond Concatenating Context for Document-Level Neural Machine Translation,2023,EACL,https://aclanthology.org/2023.eacl-main.33/,primary experiment,gated document context path,5,4,3
posterior,sources/s07_posterior_attention.md,Posterior Attention Models for Sequence to Sequence Learning,2019,ICLR,https://openreview.net/pdf?id=BkltNhC9FX,primary experiment,decoder-history-conditioned latent alignment,5,2,3
decoderlens,sources/s08_decoderlens.md,DecoderLens: Layerwise Interpretation of Encoder-Decoder Transformers,2024,Findings of NAACL,https://aclanthology.org/2024.findings-naacl.296.pdf,primary analysis,intermediate encoder cross-attention,4,5,3
deformable,sources/s08_deformable_attention.md,Deformable DETR: Deformable Transformers for End-to-End Object Detection,2021,ICLR,https://arxiv.org/pdf/2010.04159,primary experiment,query-predicted exact feature reads,5,3,3
landmark,sources/s09_landmark_attention.md,Landmark Attention: Random-Access Infinite Context Length for Transformers,2023,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2023/file/ab05dc8bf36a9f66edbff6992ec86f56-Paper-Conference.pdf,primary experiment,block routing with exact token access,5,4,3
hierarchical,sources/s10_hierarchical_transformer.md,Hierarchical Transformers for Multi-Document Summarization,2019,ACL,https://aclanthology.org/P19-1500.pdf,primary experiment,hierarchical source access in summarization,5,2,3
prom,sources/s11_prom_phrase_copy.md,PROM: A Phrase-level Copying Mechanism with Pre-training for Abstractive Summarization,2024,LREC-COLING,https://aclanthology.org/2024.lrec-main.1148.pdf,primary experiment,phrase copy and auxiliary-loss caveat,4,5,3
coverage,sources/s12_coverage_pointer.md,Get To The Point: Summarization with Pointer-Generator Networks,2017,ACL,https://www-nlp.stanford.edu/pubs/see2017get.pdf,primary experiment,negative evidence for CE-only coverage,5,1,3
dyle,sources/s13_dyle_dynamic_snippets.md,DYLE: Dynamic Latent Extraction for Abstractive Long-Input Summarization,2022,ACL,https://aclanthology.org/2022.acl-long.118.pdf,primary experiment,decoder-history-dependent snippet routing,5,4,3
flamingo,sources/s14_flamingo.md,Flamingo: a Visual Language Model for Few-Shot Learning,2022,NeurIPS,https://proceedings.neurips.cc/paper_files/paper/2022/file/960a172bc7fbf0177ccccbb411a7d800-Paper-Conference.pdf,primary experiment,zero-init gated side cross-attention,5,4,3
longt5,sources/s15_longt5.md,LongT5: Efficient Text-To-Text Transformer for Long Sequences,2022,Findings of NAACL,https://aclanthology.org/2022.findings-naacl.55.pdf,primary experiment,global memory alongside local tokens and long summarization,5,4,3
gtca,sources/s16_gtca.md,Gated Tree Cross-Attention for Checkpoint-Compatible Syntax Injection in Decoder-Only LLMs,2026,ACL,https://aclanthology.org/2026.acl-long.1629.pdf,primary experiment,gated checkpoint-compatible side path,4,5,3
hint,sources/s17_hint.md,HINT: Hypernetwork Instruction Tuning for Efficient Zero- and Few-Shot Generalisation,2023,ACL,https://aclanthology.org/2023.acl-long.631.pdf,primary experiment,generate efficient modules from encoded input,5,4,3
prefixlimit,sources/s19_prefix_limit.md,When Do Prompting and Prefix-Tuning Work? A Theory of Capabilities and Limitations,2024,ICLR,https://openreview.net/pdf?id=JewzobRhay,primary theory,negative evidence for prefix-only adaptation,5,5,3
localevidence,sources/s20_local_evidence.md,Local eviseq_new code and user-reported matched scores,2026,project evidence,../region_failure_2026_09_19/final_report.md,local code and empirical record,failure-family diagnosis and implementation constraints,4,5,4
multisource,sources/s21_multi_source.md,Input Combination Strategies for Multi-Source Transformer Decoder,2018,WMT,https://aclanthology.org/W18-6326.pdf,primary experiment,separately normalized decoder source paths,4,2,3
idpg,sources/s22_idpg.md,IDPG: An Instance-Dependent Prompt Generation Method,2022,NAACL-HLT,https://aclanthology.org/2022.naacl-main.403.pdf,primary experiment,input-conditioned per-instance modules,5,4,3
iapt,sources/s23_iapt.md,IAPT: Instance-Aware Prompt Tuning for Large Language Models,2024,ACL,https://aclanthology.org/2024.acl-long.771.pdf,primary experiment,per-layer instance-conditioned prompt generator,5,5,3
